SBST18N,state,AGGFLG18,SBSTA18N,SBST18,SBSTAG18,county,SBSTFG18
Trillium Health Resources 2,37,0,,14,,141,1
Trillium Health Resources 1,37,0,,13,,143,1
Cardinal Innovations Healthcare Solutions 2,37,0,,4,,145,1
Trillium Health Resources 1,37,0,,13,,147,1
Smoky Mountain Center 2,37,0,,12,,149,1
Sandhills Center 1,37,0,,9,,151,1
Sandhills Center 1,37,0,,9,,153,1
Eastpointe,37,0,,7,,155,1
CenterPoint Human Services,37,0,,6,,157,1
Cardinal Innovations Healthcare Solutions 1,37,0,,3,,159,1
Smoky Mountain Center 2,37,0,,12,,161,1
Eastpointe,37,0,,7,,163,1
Eastpointe,37,0,,7,,165,1
Cardinal Innovations Healthcare Solutions 1,37,0,,3,,167,1
CenterPoint Human Services,37,0,,6,,169,1
Partners Behavioral Health Management,37,0,,8,,171,1
Smoky Mountain Center 1,37,0,,11,,173,1
Smoky Mountain Center 2,37,0,,12,,175,1
Trillium Health Resources 1,37,0,,13,,177,1
Cardinal Innovations Healthcare Solutions 1,37,0,,3,,179,1
Cardinal Innovations Healthcare Solutions 2,37,0,,4,,181,1
Alliance Behavioral Healthcare 2,37,0,,2,,183,1
Cardinal Innovations Healthcare Solutions 2,37,0,,4,,185,1
Trillium Health Resources 1,37,0,,13,,187,1
Smoky Mountain Center 1,37,0,,11,,189,1
Eastpointe,37,0,,7,,191,1
Smoky Mountain Center 1,37,0,,11,,193,1
Eastpointe,37,0,,7,,195,1
Partners Behavioral Health Management,37,0,,8,,197,1
Smoky Mountain Center 2,37,0,,12,,199,1
Badlands,38,1,Badlands and West Central,1,1,1,1
South Central,38,0,South Central,6,6,3,1
Lake Region,38,0,Lake Region,2,2,5,1
Badlands,38,1,Badlands and West Central,1,1,7,1
North Central,38,0,North Central,3,3,9,1
Badlands,38,1,Badlands and West Central,1,1,11,1
North Central,38,0,North Central,3,3,13,1
West Central,38,1,Badlands and West Central,8,1,15,1
Southeast,38,0,Southeast,7,7,17,1
Lake Region,38,0,Lake Region,2,2,19,1
South Central,38,0,South Central,6,6,21,1
Northwest,38,0,Northwest,5,5,23,1
Badlands,38,1,Badlands and West Central,1,1,25,1
Lake Region,38,0,Lake Region,2,2,27,1
West Central,38,1,Badlands and West Central,8,1,29,1
South Central,38,0,South Central,6,6,31,1
Badlands,38,1,Badlands and West Central,1,1,33,1
Northeast,38,0,Northeast,4,4,35,1
West Central,38,1,Badlands and West Central,8,1,37,1
South Central,38,0,South Central,6,6,39,1
Badlands,38,1,Badlands and West Central,1,1,41,1
West Central,38,1,Badlands and West Central,8,1,43,1
South Central,38,0,South Central,6,6,45,1
South Central,38,0,South Central,6,6,47,1
North Central,38,0,North Central,3,3,49,1
South Central,38,0,South Central,6,6,51,1
Northwest,38,0,Northwest,5,5,53,1
West Central,38,1,Badlands and West Central,8,1,55,1
West Central,38,1,Badlands and West Central,8,1,57,1
West Central,38,1,Badlands and West Central,8,1,59,1
North Central,38,0,North Central,3,3,61,1
Northeast,38,0,Northeast,4,4,63,1
West Central,38,1,Badlands and West Central,8,1,65,1
Northeast,38,0,Northeast,4,4,67,1
North Central,38,0,North Central,3,3,69,1
Lake Region,38,0,Lake Region,2,2,71,1
Southeast,38,0,Southeast,7,7,73,1
North Central,38,0,North Central,3,3,75,1
Southeast,38,0,Southeast,7,7,77,1
Lake Region,38,0,Lake Region,2,2,79,1
Southeast,38,0,Southeast,7,7,81,1
West Central,38,1,Badlands and West Central,8,1,83,1
West Central,38,1,Badlands and West Central,8,1,85,1
Badlands,38,1,Badlands and West Central,1,1,87,1
Badlands,38,1,Badlands and West Central,1,1,89,1
Southeast,38,0,Southeast,7,7,91,1
South Central,38,0,South Central,6,6,93,1
Lake Region,38,0,Lake Region,2,2,95,1
Southeast,38,0,Southeast,7,7,97,1
Northeast,38,0,Northeast,4,4,99,1
North Central,38,0,North Central,3,3,101,1
South Central,38,0,South Central,6,6,103,1
Northwest,38,0,Northwest,5,5,105,1
"Boards 27, 71, and 73",39,0,,14,,1,1
"Boards 2, 46, 55, and 68",39,0,,9,,3,1
"Boards 3, 52, and 85",39,0,,16,,5,1
Boards 4 and 78,39,0,,17,,7,1
Boards 5 and 60,39,0,,18,,9,1
"Boards 2, 46, 55, and 68",39,0,,9,,11,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,13,1
"Boards 8, 13, and 83",39,0,,21,,15,1
Board 9 (Butler),39,0,,7,,17,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,19,1
"Boards 2, 46, 55, and 68",39,0,,9,,21,1
Board 12,39,0,,1,,23,1
"Boards 8, 13, and 83",39,0,,21,,25,1
"Boards 8, 13, and 83",39,0,,21,,27,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,29,1
Boards 5 and 60,39,0,,18,,31,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,33,1
Boards 18 and 47,39,0,,8,,35,1
"Boards 2, 46, 55, and 68",39,0,,9,,37,1
"Boards 20, 32, 54, and 69",39,0,,10,,39,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,41,1
"Boards 22, 74, and 87",39,0,,12,,43,1
Boards 23 and 45,39,0,,13,,45,1
"Boards 27, 71, and 73",39,0,,14,,47,1
Board 25 (Franklin),39,0,,2,,49,1
"Boards 20, 32, 54, and 69",39,0,,10,,51,1
"Boards 27, 71, and 73",39,0,,14,,53,1
"Boards 28, 43, and 67",39,0,,15,,55,1
Board 12,39,0,,1,,57,1
Boards 5 and 60,39,0,,18,,59,1
Board 31 (Hamilton),39,0,,3,,61,1
"Boards 20, 32, 54, and 69",39,0,,10,,63,1
"Boards 2, 46, 55, and 68",39,0,,9,,65,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,67,1
"Boards 20, 32, 54, and 69",39,0,,10,,69,1
"Boards 27, 71, and 73",39,0,,14,,71,1
Boards 5 and 60,39,0,,18,,73,1
"Boards 3, 52, and 85",39,0,,16,,75,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,77,1
"Boards 27, 71, and 73",39,0,,14,,79,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,81,1
Boards 23 and 45,39,0,,13,,83,1
"Boards 28, 43, and 67",39,0,,15,,85,1
"Boards 27, 71, and 73",39,0,,14,,87,1
Boards 23 and 45,39,0,,13,,89,1
"Boards 2, 46, 55, and 68",39,0,,9,,91,1
Boards 18 and 47,39,0,,8,,93,1
Board 48 (Lucas),39,0,,4,,95,1
Board 12,39,0,,1,,97,1
Boards 50 and 76,39,0,,19,,99,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,101,1
"Boards 3, 52, and 85",39,0,,16,,103,1
"Boards 27, 71, and 73",39,0,,14,,105,1
"Boards 20, 32, 54, and 69",39,0,,10,,107,1
"Boards 2, 46, 55, and 68",39,0,,9,,109,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,111,1
Board 57 (Montgomery),39,0,,5,,113,1
Boards 5 and 60,39,0,,18,,115,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,117,1
Boards 5 and 60,39,0,,18,,119,1
Boards 5 and 60,39,0,,18,,121,1
"Boards 22, 74, and 87",39,0,,12,,123,1
"Boards 20, 32, 54, and 69",39,0,,10,,125,1
Boards 5 and 60,39,0,,18,,127,1
"Boards 27, 71, and 73",39,0,,14,,129,1
"Boards 27, 71, and 73",39,0,,14,,131,1
"Boards 28, 43, and 67",39,0,,15,,133,1
"Boards 2, 46, 55, and 68",39,0,,9,,135,1
"Boards 20, 32, 54, and 69",39,0,,10,,137,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,139,1
"Boards 27, 71, and 73",39,0,,14,,141,1
"Boards 22, 74, and 87",39,0,,12,,143,1
"Boards 27, 71, and 73",39,0,,14,,145,1
"Boards 22, 74, and 87",39,0,,12,,147,1
"Boards 2, 46, 55, and 68",39,0,,9,,149,1
Boards 50 and 76,39,0,,19,,151,1
Board 77 (Summit),39,0,,6,,153,1
Boards 4 and 78,39,0,,17,,155,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,157,1
"Boards 21, 39, 51, 70, and 80",39,0,,11,,159,1
"Boards 20, 32, 54, and 69",39,0,,10,,161,1
Boards 5 and 60,39,0,,18,,163,1
"Boards 8, 13, and 83",39,0,,21,,165,1
"Boards 7, 15, 41, 79, and 84",39,0,,20,,167,1
"Boards 3, 52, and 85",39,0,,16,,169,1
"Boards 20, 32, 54, and 69",39,0,,10,,171,1
"Boards 22, 74, and 87",39,0,,12,,173,1
"Boards 22, 74, and 87",39,0,,12,,175,1
East Central,40,0,,2,,1,1
Northwest and Southwest,40,0,,4,,3,1
Southeast,40,0,,6,,5,1
Northwest and Southwest,40,0,,4,,7,1
Northwest and Southwest,40,0,,4,,9,1
Northwest and Southwest,40,0,,4,,11,1
Southeast,40,0,,6,,13,1
Northwest and Southwest,40,0,,4,,15,1
Central,40,0,,1,,17,1
Southeast,40,0,,6,,19,1
East Central,40,0,,2,,21,1
Southeast,40,0,,6,,23,1
Northwest and Southwest,40,0,,4,,25,1
Central,40,0,,1,,27,1
Southeast,40,0,,6,,29,1
Northwest and Southwest,40,0,,4,,31,1
Northwest and Southwest,40,0,,4,,33,1
Northeast,40,0,,3,,35,1
East Central,40,0,,2,,37,1
Northwest and Southwest,40,0,,4,,39,1
Northeast,40,0,,3,,41,1
Northwest and Southwest,40,0,,4,,43,1
Northwest and Southwest,40,0,,4,,45,1
Northwest and Southwest,40,0,,4,,47,1
Southeast,40,0,,6,,49,1
Central,40,0,,1,,51,1
Northwest and Southwest,40,0,,4,,53,1
Northwest and Southwest,40,0,,4,,55,1
Northwest and Southwest,40,0,,4,,57,1
Northwest and Southwest,40,0,,4,,59,1
Southeast,40,0,,6,,61,1
Southeast,40,0,,6,,63,1
Northwest and Southwest,40,0,,4,,65,1
Northwest and Southwest,40,0,,4,,67,1
Southeast,40,0,,6,,69,1
Northeast,40,0,,3,,71,1
Northwest and Southwest,40,0,,4,,73,1
Northwest and Southwest,40,0,,4,,75,1
Southeast,40,0,,6,,77,1
Southeast,40,0,,6,,79,1
East Central,40,0,,2,,81,1
Northwest and Southwest,40,0,,4,,83,1
Southeast,40,0,,6,,85,1
Central,40,0,,1,,87,1
Southeast,40,0,,6,,89,1
East Central,40,0,,2,,91,1
Northwest and Southwest,40,0,,4,,93,1
Southeast,40,0,,6,,95,1
Northeast,40,0,,3,,97,1
Southeast,40,0,,6,,99,1
East Central,40,0,,2,,101,1
Northeast,40,0,,3,,103,1
Northeast,40,0,,3,,105,1
East Central,40,0,,2,,107,1
Oklahoma County,40,0,,5,,109,1
East Central,40,0,,2,,111,1
Northeast,40,0,,3,,113,1
Northeast,40,0,,3,,115,1
Northeast,40,0,,3,,117,1
Northeast,40,0,,3,,119,1
Southeast,40,0,,6,,121,1
Southeast,40,0,,6,,123,1
Southeast,40,0,,6,,125,1
Southeast,40,0,,6,,127,1
Northwest and Southwest,40,0,,4,,129,1
Northeast,40,0,,3,,131,1
Southeast,40,0,,6,,133,1
East Central,40,0,,2,,135,1
Northwest and Southwest,40,0,,4,,137,1
Northwest and Southwest,40,0,,4,,139,1
Northwest and Southwest,40,0,,4,,141,1
Tulsa County,40,0,,7,,143,1
East Central,40,0,,2,,145,1
Northeast,40,0,,3,,147,1
Northwest and Southwest,40,0,,4,,149,1
Northwest and Southwest,40,0,,4,,151,1
Northwest and Southwest,40,0,,4,,153,1
Region 6 (Eastern),41,0,,6,,1,1
Region 3,41,0,,3,,3,1
Region 2,41,0,,2,,5,1
Region 3,41,0,,3,,7,1
Region 3,41,0,,3,,9,1
Region 4,41,0,,4,,11,1
Region 5 (Central),41,0,,5,,13,1
Region 4,41,0,,4,,15,1
Region 5 (Central),41,0,,5,,17,1
Region 4,41,0,,4,,19,1
Region 6 (Eastern),41,0,,6,,21,1
Region 6 (Eastern),41,0,,6,,23,1
Region 6 (Eastern),41,0,,6,,25,1
Region 6 (Eastern),41,0,,6,,27,1
Region 4,41,0,,4,,29,1
Region 5 (Central),41,0,,5,,31,1
Region 4,41,0,,4,,33,1
Region 4,41,0,,4,,35,1
Region 6 (Eastern),41,0,,6,,37,1
Region 3,41,0,,3,,39,1
Region 3,41,0,,3,,41,1
Region 3,41,0,,3,,43,1
Region 6 (Eastern),41,0,,6,,45,1
Region 3,41,0,,3,,47,1
Region 6 (Eastern),41,0,,6,,49,1
Region 1 (Multnomah),41,0,,1,,51,1
Region 3,41,0,,3,,53,1
Region 6 (Eastern),41,0,,6,,55,1
Region 3,41,0,,3,,57,1
Region 6 (Eastern),41,0,,6,,59,1
Region 6 (Eastern),41,0,,6,,61,1
Region 6 (Eastern),41,0,,6,,63,1
Region 6 (Eastern),41,0,,6,,65,1
Region 2,41,0,,2,,67,1
Region 6 (Eastern),41,0,,6,,69,1
Region 3,41,0,,3,,71,1
"Regions 19, 26, 28, and 42",42,0,,5,,1,1
Region 1 (Allegheny),42,0,,1,,3,1
"Regions 3, 8, 9, and 51",42,0,,8,,5,1
"Regions 3, 8, 9, and 51",42,0,,8,,7,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,9,1
"Regions 4, 11, 37, and 49",42,0,,10,,11,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,13,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,15,1
"Regions 7, 13, 20, and 33",42,0,,13,,17,1
"Regions 3, 8, 9, and 51",42,0,,8,,19,1
"Regions 3, 8, 9, and 51",42,0,,8,,21,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,23,1
"Regions 4, 11, 37, and 49",42,0,,10,,25,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,27,1
"Regions 7, 13, 20, and 33",42,0,,13,,29,1
"Regions 3, 8, 9, and 51",42,0,,8,,31,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,33,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,35,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,37,1
Regions 17 and 21,42,0,,4,,39,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,41,1
"Regions 19, 26, 28, and 42",42,0,,5,,43,1
"Regions 7, 13, 20, and 33",42,0,,13,,45,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,47,1
Regions 17 and 21,42,0,,4,,49,1
"Regions 22, 38, 40, 41, and 48",42,0,,6,,51,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,53,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,55,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,57,1
"Regions 22, 38, 40, 41, and 48",42,0,,6,,59,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,61,1
"Regions 3, 8, 9, and 51",42,0,,8,,63,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,65,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,67,1
Regions 30 and 50,42,0,,9,,69,1
"Regions 19, 26, 28, and 42",42,0,,5,,71,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,73,1
"Regions 19, 26, 28, and 42",42,0,,5,,75,1
Regions 29 and 34,42,0,,7,,77,1
Regions 30 and 50,42,0,,9,,79,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,81,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,83,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,85,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,87,1
"Regions 4, 11, 37, and 49",42,0,,10,,89,1
"Regions 7, 13, 20, and 33",42,0,,13,,91,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,93,1
Regions 29 and 34,42,0,,7,,95,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,97,1
"Regions 5, 18, 23, 24, and 46",42,0,,11,,99,1
Region 36 (Philadelphia),42,0,,2,,101,1
"Regions 4, 11, 37, and 49",42,0,,10,,103,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,105,1
"Regions 4, 11, 37, and 49",42,0,,10,,107,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,109,1
"Regions 22, 38, 40, 41, and 48",42,0,,6,,111,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,113,1
Regions 30 and 50,42,0,,9,,115,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,117,1
"Regions 6, 12, 16, 31, 35, 45, and 47",42,0,,12,,119,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,121,1
"Regions 10, 15, 27, 32, 43, and 44",42,0,,3,,123,1
"Regions 22, 38, 40, 41, and 48",42,0,,6,,125,1
"Regions 4, 11, 37, and 49",42,0,,10,,127,1
"Regions 22, 38, 40, 41, and 48",42,0,,6,,129,1
Regions 30 and 50,42,0,,9,,131,1
"Regions 19, 26, 28, and 42",42,0,,5,,133,1
Region 1,45,0,,1,,1,1
Region 4,45,0,,4,,3,1
Region 4,45,0,,4,,5,1
Region 1,45,0,,1,,7,1
Region 4,45,0,,4,,9,1
Region 4,45,0,,4,,11,1
Region 4,45,0,,4,,13,1
Region 4,45,0,,4,,15,1
Region 4,45,0,,4,,17,1
Region 4,45,0,,4,,19,1
Region 1,45,0,,1,,21,1
Region 2,45,0,,2,,23,1
Region 2,45,0,,2,,25,1
Region 3,45,0,,3,,27,1
Region 4,45,0,,4,,29,1
Region 3,45,0,,3,,31,1
Region 3,45,0,,3,,33,1
Region 4,45,0,,4,,35,1
Region 1,45,0,,1,,37,1
Region 2,45,0,,2,,39,1
Region 3,45,0,,3,,41,1
Region 3,45,0,,3,,43,1
Region 1,45,0,,1,,45,1
Region 1,45,0,,1,,47,1
Region 4,45,0,,4,,49,1
Region 3,45,0,,3,,51,1
Region 4,45,0,,4,,53,1
Region 2,45,0,,2,,55,1
Region 2,45,0,,2,,57,1
Region 1,45,0,,1,,59,1
Region 2,45,0,,2,,61,1
Region 2,45,0,,2,,63,1
Region 1,45,0,,1,,65,1
Region 3,45,0,,3,,67,1
Region 3,45,0,,3,,69,1
Region 1,45,0,,1,,71,1
Region 1,45,0,,1,,73,1
Region 4,45,0,,4,,75,1
Region 1,45,0,,1,,77,1
Region 2,45,0,,2,,79,1
Region 1,45,0,,1,,81,1
Region 1,45,0,,1,,83,1
Region 3,45,0,,3,,85,1
Region 1,45,0,,1,,87,1
Region 3,45,0,,3,,89,1
Region 2,45,0,,2,,91,1
Region 4,46,0,,4,,3,1
Region 3,46,0,,3,,5,1
Region 1,46,0,,1,,7,1
Region 4,46,0,,4,,9,1
Region 3,46,0,,3,,11,1
Region 3,46,0,,3,,13,1
Region 4,46,0,,4,,15,1
Region 2,46,0,,2,,17,1
Region 1,46,0,,1,,19,1
Region 2,46,0,,2,,21,1
Region 4,46,0,,4,,23,1
Region 3,46,0,,3,,25,1
Region 4,46,0,,4,,27,1
Region 3,46,0,,3,,29,1
Region 2,46,0,,2,,31,1
Region 1,46,0,,1,,33,1
Region 4,46,0,,4,,35,1
Region 3,46,0,,3,,37,1
Region 3,46,0,,3,,39,1
Region 2,46,0,,2,,41,1
Region 4,46,0,,4,,43,1
Region 3,46,0,,3,,45,1
Region 1,46,0,,1,,47,1
Region 3,46,0,,3,,49,1
Region 3,46,0,,3,,51,1
Region 2,46,0,,2,,53,1
Region 2,46,0,,2,,55,1
Region 3,46,0,,3,,57,1
Region 2,46,0,,2,,59,1
Region 4,46,0,,4,,61,1
Region 1,46,0,,1,,63,1
Region 2,46,0,,2,,65,1
Region 4,46,0,,4,,67,1
Region 2,46,0,,2,,69,1
Region 1,46,0,,1,,71,1
Region 4,46,0,,4,,73,1
Region 2,46,0,,2,,75,1
Region 3,46,0,,3,,77,1
Region 3,46,0,,3,,79,1
Region 1,46,0,,1,,81,1
Region 5,46,0,,5,,83,1
Region 2,46,0,,2,,85,1
Region 5,46,0,,5,,87,1
Region 3,46,0,,3,,89,1
Region 3,46,0,,3,,91,1
Region 1,46,0,,1,,93,1
Region 2,46,0,,2,,95,1
Region 4,46,0,,4,,97,1
Region 5,46,0,,5,,99,1
Region 3,46,0,,3,,101,1
Region 1,46,0,,1,,103,1
Region 1,46,0,,1,,105,1
Region 2,46,0,,2,,107,1
Region 3,46,0,,3,,109,1
Region 4,46,0,,4,,111,1
Region 1,46,0,,1,,113,1
Region 3,46,0,,3,,115,1
Region 2,46,0,,2,,117,1
Region 2,46,0,,2,,119,1
Region 2,46,0,,2,,121,1
Region 2,46,0,,2,,123,1
Region 5,46,0,,5,,125,1
Region 4,46,0,,4,,127,1
Region 2,46,0,,2,,129,1
Region 4,46,0,,4,,135,1
Region 2,46,0,,2,,137,1
Region 2,47,0,,2,,1,1
Region 5,47,0,,5,,3,1
Region 6,47,0,,6,,5,1
Region 3,47,0,,3,,7,1
Region 2,47,0,,2,,9,1
Region 3,47,0,,3,,11,1
Region 2,47,0,,2,,13,1
Region 5,47,0,,5,,15,1
Region 6,47,0,,6,,17,1
Region 1,47,0,,1,,19,1
Region 5,47,0,,5,,21,1
Region 6,47,0,,6,,23,1
Region 2,47,0,,2,,25,1
Region 3,47,0,,3,,27,1
Region 2,47,0,,2,,29,1
Region 5,47,0,,5,,31,1
Region 6,47,0,,6,,33,1
Region 3,47,0,,3,,35,1
Region 4 (Davidson),47,0,,4,,37,1
Region 6,47,0,,6,,39,1
Region 3,47,0,,3,,41,1
Region 5,47,0,,5,,43,1
Region 6,47,0,,6,,45,1
Region 6,47,0,,6,,47,1
Region 3,47,0,,3,,49,1
Region 5,47,0,,5,,51,1
Region 6,47,0,,6,,53,1
Region 5,47,0,,5,,55,1
Region 2,47,0,,2,,57,1
Region 1,47,0,,1,,59,1
Region 3,47,0,,3,,61,1
Region 2,47,0,,2,,63,1
Region 3,47,0,,3,,65,1
Region 1,47,0,,1,,67,1
Region 6,47,0,,6,,69,1
Region 6,47,0,,6,,71,1
Region 1,47,0,,1,,73,1
Region 6,47,0,,6,,75,1
Region 6,47,0,,6,,77,1
Region 6,47,0,,6,,79,1
Region 5,47,0,,5,,81,1
Region 5,47,0,,5,,83,1
Region 5,47,0,,5,,85,1
Region 3,47,0,,3,,87,1
Region 2,47,0,,2,,89,1
Region 1,47,0,,1,,91,1
Region 2,47,0,,2,,93,1
Region 6,47,0,,6,,95,1
Region 6,47,0,,6,,97,1
Region 5,47,0,,5,,99,1
Region 5,47,0,,5,,101,1
Region 5,47,0,,5,,103,1
Region 2,47,0,,2,,105,1
Region 3,47,0,,3,,107,1
Region 6,47,0,,6,,109,1
Region 3,47,0,,3,,111,1
Region 6,47,0,,6,,113,1
Region 3,47,0,,3,,115,1
Region 5,47,0,,5,,117,1
Region 5,47,0,,5,,119,1
Region 3,47,0,,3,,121,1
Region 2,47,0,,2,,123,1
Region 5,47,0,,5,,125,1
Region 5,47,0,,5,,127,1
Region 2,47,0,,2,,129,1
Region 6,47,0,,6,,131,1
Region 3,47,0,,3,,133,1
Region 5,47,0,,5,,135,1
Region 3,47,0,,3,,137,1
Region 3,47,0,,3,,139,1
Region 3,47,0,,3,,141,1
Region 3,47,0,,3,,143,1
Region 2,47,0,,2,,145,1
Region 5,47,0,,5,,147,1
Region 5,47,0,,5,,149,1
Region 2,47,0,,2,,151,1
Region 3,47,0,,3,,153,1
Region 2,47,0,,2,,155,1
Region 7 (Shelby),47,0,,7,,157,1
Region 3,47,0,,3,,159,1
Region 5,47,0,,5,,161,1
Region 1,47,0,,1,,163,1
Region 5,47,0,,5,,165,1
Region 6,47,0,,6,,167,1
Region 5,47,0,,5,,169,1
Region 1,47,0,,1,,171,1
Region 2,47,0,,2,,173,1
Region 3,47,0,,3,,175,1
Region 3,47,0,,3,,177,1
Region 1,47,0,,1,,179,1
Region 5,47,0,,5,,181,1
Region 6,47,0,,6,,183,1
Region 3,47,0,,3,,185,1
Region 5,47,0,,5,,187,1
Region 5,47,0,,5,,189,1
Region 4,48,0,Region 4,8,6,1,1
Region 9,48,0,Region 9,15,11,3,1
Region 5,48,0,Region 5,9,7,5,1
Region 11abd,48,1,Region 11,3,3,7,1
Region 2,48,0,Region 2,5,4,9,1
Region 1,48,0,Region 1,1,1,11,1
Region 8,48,0,Region 8,14,10,13,1
Region 6a,48,1,Region 6,10,8,15,1
Region 1,48,0,Region 1,1,1,17,1
Region 8,48,0,Region 8,14,10,19,1
Region 7a,48,1,Region 7,12,9,21,1
Region 2,48,0,Region 2,5,4,23,1
Region 11abd,48,1,Region 11,3,3,25,1
Region 7bcd,48,1,Region 7,13,9,27,1
Region 8,48,0,Region 8,14,10,29,1
Region 7a,48,1,Region 7,12,9,31,1
Region 9,48,0,Region 9,15,11,33,1
Region 7bcd,48,1,Region 7,13,9,35,1
Region 4,48,0,Region 4,8,6,37,1
Region 6bc,48,1,Region 6,11,8,39,1
Region 7bcd,48,1,Region 7,13,9,41,1
Region 10,48,0,Region 10,2,2,43,1
Region 1,48,0,Region 1,1,1,45,1
Region 11abd,48,1,Region 11,3,3,47,1
Region 2,48,0,Region 2,5,4,49,1
Region 7bcd,48,1,Region 7,13,9,51,1
Region 7a,48,1,Region 7,12,9,53,1
Region 7a,48,1,Region 7,12,9,55,1
Region 8,48,0,Region 8,14,10,57,1
Region 2,48,0,Region 2,5,4,59,1
Region 11abd,48,1,Region 11,3,3,61,1
Region 4,48,0,Region 4,8,6,63,1
Region 1,48,0,Region 1,1,1,65,1
Region 4,48,0,Region 4,8,6,67,1
Region 1,48,0,Region 1,1,1,69,1
